year,state,district,proportion_black,black_candidate,black_turnout
2006,RI,1,4.0494507,0,36.1502347
2006,RI,2,3.1796452,0,42.2207447
2006,SC,1,19.2301841,0,30.0200545
2006,SC,2,26.5888972,0,29.753858
2006,SC,3,19.1079566,0,26.5012709
2006,SC,4,19.3996075,0,25.3019701
2006,SC,5,30.3160888,0,26.0402054
2006,SC,6,54.003966,1,29.6981618
2006,TN,0,15.6242331,1,39.0862674
2006,TN,1,2.0820804,0,19.28756
2006,TN,2,5.7138784,0,31.1167293
2006,TN,3,10.494375,0,37.5950702
2006,TN,4,3.7659753,0,32.7840058
2006,TN,5,23.9008473,0,41.0625457
2006,TN,6,7.1303663,0,31.0370295
2006,TN,7,12.6770827,0,45.6565021
2006,TN,8,21.9468485,0,32.6344937
2006,TN,9,62.6477832,0,41.3355244
2006,TX,0,12.8411754,0,19.8283464
2006,TX,1,18.4448708,0,15.4545156
2006,TX,2,22.1452438,0,20.388601
2006,TX,3,11.7069813,0,19.4788355
2006,TX,4,10.2121419,0,23.075443
2006,TX,5,14.2376022,0,16.6139055
2006,TX,6,16.440366,0,22.4541337
2006,TX,7,9.6940467,0,16.3166227
2006,TX,8,8.3963427,0,17.2007862
2006,TX,9,49.8781712,1,20.1928942
2006,TX,10,11.693422,0,18.1758304
2006,TX,11,4.1710921,0,10.2893094
2006,TX,12,6.6896036,0,19.7907889
2006,TX,13,6.0715811,0,14.3437699
2006,TX,14,9.7179558,0,20.5727204
2006,TX,16,3.6422595,0,7.7490775
2006,TX,17,9.7653995,0,9.2483835
2006,TX,18,48.2436463,1,19.9212702
2006,TX,19,5.5967639,0,12.8150395
2006,TX,20,7.957294,0,10.5222865
2006,TX,22,14.5166443,0,25.0213783
2006,TX,24,14.5002889,0,23.7441538
2006,TX,26,14.3886722,0,23.6802223
2006,TX,27,2.8111015,0,10.0194238
2006,TX,29,14.0733446,0,13.6105726
2006,TX,30,51.8462782,1,27.3136942
2006,TX,31,12.3527297,0,15.2293397
2006,TX,32,9.3269085,0,16.2121629
2006,UT,0,0.6941316,0,42.2230082
2006,UT,1,1.1884216,0,24.6654501
2006,WA,0,3.0335756,0,26.5308374
2006,WA,1,2.3276926,0,20.6668408
2006,WA,2,1.1869186,0,24.9032882
2006,WA,3,1.1155162,0,25.2975692
2006,WA,4,1.0218189,0,22.1553022
2006,WA,5,1.2348011,0,24.1091138
2006,WA,6,5.2885645,0,21.3928715
2006,WA,7,6.6285006,0,35.5896019
2006,WA,8,2.3924612,0,27.620784
2006,WA,9,6.6520398,0,21.9770909
2006,WI,0,5.0612494,0,36.7502266
2006,WI,1,4.8837512,0,23.0739071
2006,WI,2,2.9610044,0,34.0088664
2006,WI,4,32.9790591,1,40.3226264
2006,WI,5,2.0233636,0,33.112708
2006,WI,6,1.5313881,0,12.5077094
2006,WV,0,3.1945725,0,26.7175573
2006,WV,1,2.0884063,0,19.5022804
2006,WV,2,3.2590919,0,29.7975407
2006,WV,3,3.8633157,0,28.6847249
2008,AK,0,3.5023115,0,70.9726712
2008,AK,1,3.5023115,0,70.9726712
2008,AL,0,25.2987358,1,62.553939
2008,AL,1,26.1221335,0,62.0053624
2008,AL,2,29.3965615,0,57.6660577
2008,AL,3,31.6352577,0,56.4202481
2008,AL,4,4.9961712,0,55.5389408
2008,AL,5,17.631314,0,62.6272483
2008,AL,6,10.682076,0,64.0801001
2008,AL,7,61.7318354,1,61.9576019
2008,AR,0,14.7130518,0,54.4885782
2008,AR,2,19.4165196,0,54.8806962
2008,AR,3,2.3851928,0,35.7896323
2008,AR,4,23.4240908,0,50.3415623
2008,AZ,1,1.7242448,0,72.2748557
2008,AZ,2,2.9204947,0,51.3794641
2008,AZ,3,3.4828107,0,40.7160699
2008,AZ,4,10.0957959,0,47.6851994
2008,AZ,5,3.5153053,0,51.1371798
2008,AZ,6,2.7109207,0,61.0292398
2008,AZ,7,3.883771,0,43.8132296
2008,AZ,8,3.2043771,0,44.358041
2008,CA,1,2.0802997,0,49.2679503
2008,CA,2,1.259477,0,59.2132839
2008,CA,3,6.0220842,0,56.3223344
2008,CA,4,1.5679304,0,42.7684525
2008,CA,5,14.8996114,0,62.5166039
2008,CA,6,2.359914,0,57.1307858
2008,CA,7,16.5091951,0,65.8200875
2008,CA,8,7.4387585,0,75.5285472
2008,CA,9,23.0453489,1,82.3521304
2008,CA,10,8.3985412,0,64.1323091
2008,CA,11,4.6545855,0,65.8606696
2008,CA,12,2.9629101,0,59.8254589
2008,CA,13,9.5277771,0,54.440488
2008,CA,14,3.6508032,0,54.7986554
2008,CA,15,2.2701532,0,72.5978261
2008,CA,16,4.3593024,0,51.6706664
2008,CA,17,3.2556648,0,49.0481708
2008,CA,18,8.2833395,0,37.6953438
2008,CA,19,4.0367433,0,42.2052256
2008,CA,20,10.3294898,0,26.5693344
2008,CA,21,2.6247585,0,45.5679522
2008,CA,22,6.0021806,0,41.91508
2008,CA,23,2.4033616,0,53.5428343
2008,CA,24,1.7220818,0,57.7169787
2008,CA,25,9.775566,0,44.5574792
2008,CA,26,4.6233438,0,65.2213232
2008,CA,27,5.1574696,0,62.5721393
2008,CA,28,5.9403753,0,54.335813
2008,CA,29,6.3688675,0,66.1378659
2008,CA,30,3.4076917,0,81.5456283
2008,CA,31,8.1449351,0,36.6014302
2008,CA,32,3.3286505,0,45.9299239
2008,CA,33,35.4271618,1,63.1188714
2008,CA,34,7.517766,0,39.429801
2008,CA,35,41.9482778,1,58.1374965
2008,CA,36,5.6475554,0,54.8954115
2008,CA,37,30.6138461,1,61.8358643
2008,CA,38,4.0441273,0,51.6006043
2008,CA,39,6.8739102,0,56.3355146
2008,CA,40,3.1260869,0,41.9790105
2008,CA,41,5.4813207,0,53.2424439
2008,CA,42,3.0946602,0,48.444641
2008,CA,43,14.726199,0,38.9656245
2008,CA,44,6.9408147,0,42.9191128
2008,CA,45,7.3536364,0,50.0425035
2008,CA,46,1.3943258,0,74.7708635
2008,CA,47,2.6541298,0,32.7832944
2008,CA,48,1.8007987,0,49.651325
2008,CA,49,5.0188208,0,46.184837
2008,CA,50,2.1575891,0,59.0970611
2008,CA,51,10.2516286,0,51.2951063
2008,CA,52,4.2931447,0,54.0535104
2008,CA,53,6.5228293,0,65.5686828
2008,CO,0,3.6018339,0,72.7136068
2008,CO,1,9.3711374,0,81.7739332
2008,CO,2,1.0782949,0,78.6342376
2008,CO,5,5.3793359,0,50.1795698
